"File Name","Condition","Timepoint","Individual","Sample Description","Sample Source Description","Sample Source"
"431345.fcs","negctrl",2,"080-1","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431346.fcs","negctrl",2,"080-1","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431348.fcs","negctrl",5,"080-1","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431349.fcs","negctrl",5,"080-1","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431351.fcs","negctrl",2,"080-2","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431352.fcs","negctrl",2,"080-2","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431354.fcs","negctrl",5,"080-2","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431355.fcs","negctrl",5,"080-2","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431357.fcs","negctrl",2,"080-3","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431358.fcs","negctrl",2,"080-3","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431360.fcs","negctrl",5,"080-3","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431361.fcs","negctrl",5,"080-3","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431363.fcs","negctrl",2,"080-4","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431364.fcs","negctrl",2,"080-4","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431366.fcs","negctrl",5,"080-4","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431367.fcs","negctrl",5,"080-4","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431417.fcs","GAG-1-PTEG",2,"080-1","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431419.fcs","GAG-1-PTEG",5,"080-1","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
"431421.fcs","GAG-1-PTEG",2,"080-2","PBMCs from healthy subjects","[biological] Human peripheral blood","[biological]"
